T,2461,10,20,0,12,0,0,0,G0,0
T,2462,11,21,0,12,0,0,0,G0,0
T,2471,12,22,0,12,0,0,0,G0,0
T,2472,13,23,0,12,0,0,0,G0,0
T,2441,14,24,0,12,0,0,0,G0,0
T,2442,15,25,0,12,0,0,0,G0,0
T,2451,16,26,0,12,0,0,0,G0,0
T,2452,17,27,0,12,0,0,0,G0,0
T,2421,18,28,0,12,0,0,0,G0,0
T,2422,18,29,0,12,0,0,0,G0,0
T,1011,19,30,0,12,0,0,0,G0,0
T,2401,20,31,0,12,0,0,0,G0,0
T,2402,21,32,0,12,0,0,0,G0,0
T,2411,22,33,0,12,0,0,0,G0,0
T,2412,23,34,0,12,0,0,0,G0,0
T,2481,24,35,0,12,0,0,0,G0,0
T,2482,25,36,0,12,0,0,0,G0,0
T,2491,26,37,0,12,0,0,0,G0,0
T,2492,27,38,0,12,0,0,0,G0,0
T,1017,28,39,0,12,0,0,0,G0,0
T,1016,29,40,0,12,0,0,0,G0,0
T,1015,30,41,0,12,0,0,0,G0,0
T,1014,31,42,0,12,0,0,0,G0,0
T,1013,32,43,0,12,0,0,0,G0,0
T,1012,33,44,0,12,0,0,0,G0,0
T,1010,34,45,0,12,0,0,0,G0,0
T,2381,35,46,0,12,0,0,0,G0,0
T,2382,36,47,0,12,0,0,0,G0,0
T,2431,37,48,0,12,0,0,0,G0,0
T,2432,38,49,0,12,0,0,0,G0,0
